"created","favoriteCount","favorited","id","isRetweet","language","latitude","location","longitude","profileImageURL","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2017-04-30",3,FALSE,"858752579970506752",FALSE,"en",NA,"Oklahoma City, OK",NA,"http://pbs.twimg.com/profile_images/828604194286243841/54UaBeFF_normal.jpg",NA,NA,NA,0,FALSE,"bradleypoo","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Broke my 1250lb three lift barrier. .. finally.  330lb bench,  540lb deadlift, 405lb squat. #gains #bodybuilding #powerlifting #muscles",FALSE
"2017-04-30",0,FALSE,"858748842015023104",FALSE,"fr",NA,"France",NA,"http://pbs.twimg.com/profile_images/723226713241620480/32JHwktU_normal.jpg",NA,NA,NA,0,FALSE,"Romu13160","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","255kg, best French Bench press RAW ! #powerlifting #tagsforlikes #instafit #motivation #fit‚Ä¶ https://t.co/zMjV48ilat",FALSE
"2017-04-30",10,FALSE,"858744849033564160",FALSE,"en",NA,"The GYM - Gettin' SWOLE",NA,"http://pbs.twimg.com/profile_images/431596232327180289/7KvFnK0b_normal.jpeg",NA,NA,NA,5,FALSE,"MuscleGear","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Lifting Heavy Iron?
Hardcore #deadlift #gym tees

https://t.co/vhpD0W1fVs

#powerlifting #workout #gym‚Ä¶ https://t.co/L2ELbSKPqq",TRUE
"2017-04-30",0,FALSE,"858741181152468992",FALSE,"fi",NA,"Lahti, Suomi",NA,"http://pbs.twimg.com/profile_images/815320751171629056/2ZbexQSJ_normal.jpg",NA,NA,NA,0,FALSE,"jarikannela","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","You know it was a good workout when after you lie on the floor and struggle to open locker door. #gym #kettlebells‚Ä¶ https://t.co/BTd6qttUv5",TRUE
"2017-04-30",0,FALSE,"858735919834247168",FALSE,"pt","-23.67068631","Santo Andr√©/SP","-46.51111034","http://pbs.twimg.com/profile_images/596175813088776192/8ie2AOH1_normal.jpg",NA,NA,NA,0,FALSE,"ellydriver","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#Supino Feminino no 41¬∞ Campeonato Brasileiro de Powerlifting Equipado Ì†ΩÌ±∏Ì†ºÌøãÔ∏è
#powerlifting @‚Ä¶ https://t.co/yao2QHnTIW",FALSE
"2017-04-30",0,FALSE,"858735642896850944",FALSE,"en",NA,"Gilbert, AZ",NA,"http://pbs.twimg.com/profile_images/752859968211079168/z7lhEW_o_normal.jpg",NA,NA,NA,0,FALSE,"intpowerlifters","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Powerlifting 101 - On Amazon! https://t.co/x4cBaC0Gsf #powerlifting #rawpowerlifting #crossfit #crossfitter #bodybuilder #powerlifter",FALSE
"2017-04-30",1,FALSE,"858732958538190848",FALSE,"en-gb",NA,"United Kingdom",NA,"http://pbs.twimg.com/profile_images/745202662522691584/FXOQEFZC_normal.jpg",NA,NA,NA,0,FALSE,"AboutGains","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#aboutgains #gains #bodybuilding #fitness #weightlifting #weighttraining #powerlifting #life #gym #kickboxing‚Ä¶ https://t.co/Y9MGeE3YVb",TRUE
"2017-04-30",0,FALSE,"858728496453038080",FALSE,"en",NA,"Cape Town, South Africa",NA,"http://pbs.twimg.com/profile_images/751335620925071360/FV2Vm6K7_normal.jpg",NA,NA,NA,0,FALSE,"ForensicPsychDr","<a href=""http://postplanner.com"" rel=""nofollow"">Post Planner Inc.</a>","Bench Press Shoulder Pain and How to Beat It
https://t.co/lzWFydwT25
#bodybuilding #powerlifting",FALSE
"2017-04-30",0,FALSE,"858728464379150336",FALSE,"en",NA,"Chandigarh, India",NA,"http://pbs.twimg.com/profile_images/831078843301523456/eIZMEhXj_normal.jpg",NA,NA,NA,0,FALSE,"nutrafreak","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","RT intpowerlifters: Free 2-Day Online Course! https://t.co/bt6la6z1um | #powerlifting #powerlifter #weightlifting‚Ä¶ https://t.co/dif5hJqvId",FALSE
"2017-04-30",0,FALSE,"858727667465687040",TRUE,"en",NA,"",NA,"http://pbs.twimg.com/profile_images/701801088194912258/90GCpUWF_normal.jpg",NA,NA,NA,1,FALSE,"GetPumped4","<a href=""http://www.getpumpedbodybuilding.com/"" rel=""nofollow"">GetPumpedMachine</a>","RT @intpowerlifters: Free 2-Day Online Course! https://t.co/eyScxWJXpW | #powerlifting #powerlifter #weightlifting #weightlifter #bodybuild‚Ä¶",FALSE
"2017-04-30",2,FALSE,"858727343090565120",FALSE,"en",NA,"Gilbert, AZ",NA,"http://pbs.twimg.com/profile_images/752859968211079168/z7lhEW_o_normal.jpg",NA,NA,NA,1,FALSE,"intpowerlifters","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Free 2-Day Online Course! https://t.co/eyScxWJXpW | #powerlifting #powerlifter #weightlifting #weightlifter‚Ä¶ https://t.co/eD0egKWiXE",TRUE
"2017-04-30",1,FALSE,"858723871696068608",FALSE,"en",NA,"Cleveland, OH",NA,"http://pbs.twimg.com/profile_images/825887796225261569/R_n2JR_5_normal.jpg",NA,NA,NA,0,FALSE,"ReachUncharted","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A lot of this next week @SJSchumaker @TeamBSSfitness @USStrongmanInc https://t.co/3q1eN0mQIQ #deadlift‚Ä¶ https://t.co/LsFo1VgKP7",TRUE
"2017-04-30",0,FALSE,"858721733955600384",FALSE,"en",NA,"Jersey Shore",NA,"http://pbs.twimg.com/profile_images/643264535428734976/x7fARbjc_normal.jpg",NA,NA,NA,0,FALSE,"lion_walt","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#tbt 4yrs ago from #inbf to #anbfpro #jesustaketheweight and guide me as I add #powerlifting to‚Ä¶ https://t.co/UvBPsuEecE",FALSE
